0,Automation and New Tasks: How Technology Displaces and Reinstates Labor,"D Acemoglu, P Restrepo",2019,1150,Journal of Economic Perspectives
1,The Impact of the 2018 Tariffs on Prices and Welfare,"M Amiti, SJ Redding, DE Weinstein",2019,748,Journal of Economic Perspectives
2,The Economic Implications of Housing Supply,"E Glaeser, J Gyourko",2018,533,Journal of Economic Perspectives
3,"Environmental Justice: The Economics of Race, Place, and Pollution","S Banzhaf, L Ma, C Timmins",2019,449,Journal of Economic Perspectives
4,What Do Trade Agreements Really Do?,D Rodrik,2018,443,Journal of Economic Perspectives
5,Ten Years After the Financial Crisis: What Have We Learned from the Renaissance in Fiscal Research?,VA Ramey,2019,428,Journal of Economic Perspectives
6,Identification in Macroeconomics,"E Nakamura, J Steinsson",2018,421,Journal of Economic Perspectives
7,"Social Connectedness: Measurement, Determinants, and Effects","M Bailey, R Cao, T Kuchler, J Stroebel, A Wong",2018,416,Journal of Economic Perspectives
8,A Toolkit of Policies to Promote Innovation,"N Bloom, J Van Reenen, H Williams",2019,413,Journal of Economic Perspectives
9,Are Risk Preferences Stable?,H Schildberg-H̦risch,2018,398,Journal of Economic Perspectives
10,The Cost of Reducing Greenhouse Gas Emissions,"K Gillingham, JH Stock",2018,356,Journal of Economic Perspectives
11,Quantifying Economic Damages from Climate Change,M Auffhammer,2018,352,Journal of Economic Perspectives
12,"Macroeconomics and Market Power: Context, Implications, and Open Questions",C Syverson,2019,348,Journal of Economic Perspectives
13,On DSGE Models,"LJ Christiano, MS Eichenbaum, M Trabandt",2018,341,Journal of Economic Perspectives
14,Artificial Intelligence: The Ambiguous Labor Market Impact of Automating Prediction,"A Agrawal, JS Gans, A Goldfarb",2019,309,Journal of Economic Perspectives
15,Informational Autocrats,"S Guriev, D Treisman",2019,298,Journal of Economic Perspectives
16,The Labor Market Integration of Refugee Migrants in High-Income Countries,"C Brell, C Dustmann, I Preston",2020,290,Journal of Economic Perspectives
17,Finance and Business Cycles: The Credit-Driven Household Demand Channel,"A Mian, A Sufi",2018,270,Journal of Economic Perspectives
18,Universal Basic Incomes versus Targeted Transfers: Anti-Poverty Programs in Developing Countries,"R Hanna, BA Olken",2018,266,Journal of Economic Perspectives
19,Women in Economics: Stalled Progress,"S Lundberg, J Stearns",2019,257,Journal of Economic Perspectives
